date,myr_usd,myr_rmb,myr_sgd,myr_eur,myr_jpy,myr_twd,myr_thb,myr_idr,myr_hkd,myr_krw,myr_vnd,myr_inr,myr_aud,myr_php,myr_aed,myr_sar,myr_try,myr_gbp,myr_brl,myr_mxn,myr_bdt,myr_chf,myr_cad,myr_rub
2020-02-13,0.2415459007,1.683816521,0.3352922903,0.2220917935,26.53285117,7.224637853,7.533816772,3261.047752,1.876545928,284.5313998,5612.802095,17.22130572,0.3598075086,12.23430024,0.887004848,0.9047973821,1.459951719,0.1864130424,1.05181158,4.502512191,20.11699827,0.2361256068,0.3201956715,15.26521828
2020-02-14,0.2415750623,1.68532424,0.3357893331,0.2227322052,26.51479647,7.24362839,7.525063098,3308.467202,1.876216911,285.8968319,5613.479722,17.21669264,0.3593798702,12.16136234,0.8871119351,0.9049614486,1.459040911,0.1851600416,1.050070496,4.492112538,20.1232624,0.2364729941,0.3204227536,15.37250796
2020-02-15,0.2415750623,1.68532424,0.3357893331,0.2227322052,26.51479647,7.24362839,7.525063098,3308.467202,1.876216911,285.8968319,5613.479722,17.21669264,0.3593798702,12.16136234,0.8871119351,0.9049614486,1.459040911,0.1851600416,1.050070496,4.492112538,20.1232624,0.2364729941,0.3204227536,15.37250796
2020-02-16,0.2415750623,1.68532424,0.3357893331,0.2227322052,26.51479647,7.24362839,7.525063098,3308.467202,1.876216911,285.8968319,5613.479722,17.21669264,0.3593798702,12.16136234,0.8871119351,0.9049614486,1.459040911,0.1851600416,1.050070496,4.492112538,20.1232624,0.2364729941,0.3204227536,15.37250796
2020-02-17,0.2416042536,1.687871524,0.3359096316,0.2228461001,26.5259727,7.251751526,7.525489466,3305.457869,1.876603073,285.6197296,5614.158042,17.27828013,0.3592099644,12.18098465,0.8873230474,0.9061126089,1.462720514,0.1850954355,1.038173461,4.480067498,20.10933113,0.2371804772,0.3200096641,15.34793454
2020-02-18,0.2414001226,1.684803881,0.3352323523,0.2226916166,26.51297591,7.245866262,7.526855898,3294.928502,1.875147837,285.7718933,5609.41465,17.223705,0.359654559,12.20060369,0.8864695218,0.9043002964,1.459674122,0.1855642752,1.044417616,4.477972091,20.10189572,0.2366686865,0.3194930713,15.32057945
2020-02-19,0.2408187687,1.68481629,0.3350752299,0.2230752458,26.47055793,7.237808168,7.50632104,3315.592808,1.870824684,286.5574904,5595.424092,17.23660264,0.3596457199,12.19987879,0.884334674,0.9021892245,1.460325045,0.1852137175,1.048717628,4.476567859,20.06053489,0.2367007734,0.3191739605,15.38005918
2020-02-20,0.2403557301,1.681817117,0.3351207701,0.222343709,26.72996052,7.251772618,7.501502115,3307.775557,1.86828744,286.3526049,5584.665388,17.26415105,0.3595986023,12.1547892,0.8826343034,0.9004278195,1.46208395,0.1859151633,1.048912368,4.458622907,20.01322705,0.2363898614,0.3177598802,15.26756387
2020-02-21,0.2393432409,1.680763951,0.3354299907,0.2218606527,26.79543376,7.234149546,7.532131625,3279.835894,1.862258004,288.2650051,5561.140201,17.25904124,0.361884575,12.12632552,0.8789162406,0.896574771,1.460568151,0.1857782227,1.051267348,4.510997957,19.93743147,0.2354563065,0.3173643381,15.34817201
2020-02-22,0.2393432409,1.680763951,0.3354299907,0.2218606527,26.79543376,7.234149546,7.532131625,3279.835894,1.862258004,288.2650051,5561.140201,17.25904124,0.361884575,12.12632552,0.8789162406,0.896574771,1.460568151,0.1857782227,1.051267348,4.510997957,19.93743147,0.2354563065,0.3173643381,15.34817201
2020-02-23,0.2393432409,1.680763951,0.3354299907,0.2218606527,26.79543376,7.234149546,7.532131625,3279.835894,1.862258004,288.2650051,5561.140201,17.25904124,0.361884575,12.12632552,0.8789162406,0.896574771,1.460568151,0.1857782227,1.051267348,4.510997957,19.93743147,0.2354563065,0.3173643381,15.34817201
2020-02-24,0.2388572991,1.678259111,0.3348253869,0.2203673597,26.64620352,7.25815654,7.56747676,3289.420029,1.861161794,288.0069702,5549.849344,17.17068753,0.3615270027,12.12249723,0.8772297158,0.8959776297,1.45922462,0.1843930548,1.048535789,4.540130154,19.90117642,0.2338030771,0.3165575733,15.29978933
2020-02-25,0.236826539,1.664511634,0.3312563943,0.2182894157,26.25388017,7.185790623,7.49555987,3287.13571,1.845390293,288.371841,5502.664635,17.0625705,0.358176465,12.05977519,0.8696744083,0.887283393,1.448241662,0.1832090064,1.0388633,4.50837212,19.72318491,0.2320379108,0.3146808957,15.47038578
2020-02-26,0.2362949103,1.662665469,0.3304300864,0.2171429734,26.06002121,7.186437133,7.497637396,3321.479407,1.840654639,286.9919949,5490.312241,16.98251585,0.357740818,12.08648502,0.8677221613,0.8856253019,1.452575647,0.181717869,1.036578468,4.503780864,19.68694168,0.2306002016,0.3137807279,15.42495287
2020-02-27,0.2368209213,1.667171961,0.3309311891,0.2175484324,26.13626709,7.153886434,7.54037817,3299.152255,1.845431777,286.8753878,5503.718211,16.97139211,0.3617510512,12.10865396,0.8697532657,0.8875636297,1.458840553,0.1834841076,1.053639965,4.567474925,19.71441842,0.2312295803,0.3160446231,15.50023754
2020-02-28,0.2376143634,1.664132191,0.3314078744,0.2160674922,26.05679196,7.174290664,7.520494512,3401.687227,1.85210892,287.8246685,5522.157806,17.09160123,0.3611049111,12.106452,0.872567457,0.890667725,1.474817689,0.1843554828,1.065652864,4.62373056,19.79285118,0.2301889146,0.3180753267,15.74648915
2020-02-29,0.2376143634,1.664132191,0.3314078744,0.2160674922,26.05679196,7.174290664,7.520494512,3401.687227,1.85210892,287.8246685,5522.157806,17.09160123,0.3611049111,12.106452,0.872567457,0.890667725,1.474817689,0.1843554828,1.065652864,4.62373056,19.79285118,0.2301889146,0.3180753267,15.74648915
2020-03-01,0.2376143634,1.664132191,0.3314078744,0.2160674922,26.05679196,7.174290664,7.520494512,3401.687227,1.85210892,287.8246685,5522.157806,17.09160123,0.3611049111,12.106452,0.872567457,0.890667725,1.474817689,0.1843554828,1.065652864,4.62373056,19.79285118,0.2301889146,0.3180753267,15.74648915
2020-03-02,0.2374732792,1.660151957,0.3306435325,0.2148824399,25.57515942,7.153645194,7.474471555,3317.967613,1.850648228,284.9916766,5517.45417,17.13369746,0.3644288769,12.07026989,0.8721633397,0.8908097557,1.484034631,0.1854238888,1.054690055,4.707456357,19.74942744,0.2289194963,0.3183828106,15.94181793
